Precinct,registered voters
2181207504,2420
2171107651,2024
2181207507,1978
2171107609,1968
2171207300,1946
2171107600,1939
2181007803,1936
2171207302,1930
2171107607,1886
2171207301,1860
2171107610,1858
2171907400,1858
2171107615,1841
2171907404,1820
2171107649,1811
2154907912,1805
2171107623,1802
2181007840,1782
2184907815,1777
2171907619,1775
2181007817,1752
2181007818,1707
2171107624,1662
2184907845,1657
2171907406,1654
2181007825,1636
2181207509,1613
2171107617,1609
2171107606,1601
2181207105,1598
2184907827,1589
2181007819,1585
2181207508,1574
2184907856,1565
2181207207,1545
2171907401,1542
2171107608,1535
2171107616,1532
2171907620,1531
2171107603,1529
2181207204,1526
2171107618,1519
2171207310,1517
2171207307,1515
2181007820,1511
2181207100,1507
2181007830,1485
2171207314,1477
2171107626,1472
2181207506,1464
2171907402,1460
2181207502,1458
2171907403,1450
2181007822,1449
2171907636,1432
2181207209,1430
2184907804,1426
2181007829,1423
2171907637,1412
2181007833,1397
2171107645,1395
2181007809,1376
2181007808,1369
2181207210,1358
2171207316,1330
2181207101,1328
2171107642,1324
2181007839,1319
2181007850,1319
2171207313,1308
2154907915,1305
2171107634,1304
2181007843,1286
2181007816,1286
2184907855,1276
2151207700,1274
2154907701,1274
2181007832,1259
2171207306,1252
2171107650,1252
2181207212,1244
2181207510,1226
2171907405,1225
2171907635,1221
2171107601,1221
2171107612,1214
2181007806,1209
2181207500,1209
2171107625,1201
2154907904,1199
2154907916,1194
2171107613,1189
2171107605,1179
2171207309,1171
2171107629,1171
2181007838,1167
2184907805,1166
2171207305,1149
2181207103,1146
2181207102,1143
2181007823,1142
2181207200,1139
2181007802,1135
2171107611,1131
2171107633,1115
2181007834,1097
2181207201,1091
2181007800,1090
2181007821,1088
2181007807,1086
2171107604,1081
2181207206,1075
2181007831,1072
2171107647,1071
2181207208,1071
2181007811,1070
2171207308,1059
2171207304,1045
2181207104,1041
2171107622,1037
2171107632,1036
2171107648,1029
2181007849,1018
2171107640,1017
2184907844,1016
2154907901,1014
2181207205,1013
2171207312,1003
2181007813,1001
2171107638,999
2171107627,979
2171107628,972
2171207303,969
2181007842,964
2181207501,952
2154907907,940
2171107639,937
2181207505,925
2181207203,925
2154907911,922
2181007824,919
2181007847,914
2184907857,912
2171107602,911
2181007841,906
2171907621,905
2171107641,902
2181207106,902
2181007826,888
2184907854,863
2171107631,861
2171107644,860
2171207315,858
2181207211,852
2171107630,852
2171107643,843
2171207311,836
2184907814,835
2181007812,798
2171107614,784
2181007848,780
2184907853,771
2181007810,770
2181007846,769
2171107646,751
2181007837,710
2154907903,709
2154907705,696
2154907910,674
2184907828,670
2154907704,664
2154907702,654
2181207202,652
2184907852,642
2171907408,637
2181007835,633
2154907913,620
2181007851,612
2181007836,601
2154907909,589
2181207503,581
2154907906,557
2154907905,542
2154907914,503
2154907900,492
2181007801,483
2171907407,477
2154907908,427
2154907902,314
2151107703,191
2184907003,3
2151907002,3
