precinct_name,precinct_turnout_2020
2163307100,90
2163307101,93
2163307102,85
2163307103,91
2163307104,93
2163307105,89
2163307106,92
2163307107,91
2171207200,93
2171207201,92
2171207202,92
2171207203,94
2171207204,94
2171207205,92
2171207206,95
2171207207,94
2171207208,94
2171207209,95
2171207210,95
2171207211,90
2171207212,90
2171207213,94
2171207214,93
2171207215,91
2171207300,88
2171207301,86
2171207302,93
2171207303,89
2171207304,93
2171207305,89
2171207306,90
2171207307,81
2171207308,90
2171207309,93
2171207310,92
2171207311,90
2171207312,94
2171207313,94
2171207314,94
2171207315,92
2171207316,93
2173307400,92
2181207401,92
2181207402,93
2181207403,91
2181207404,92
2181207405,92
2181207406,91
2171207407,89
2173307408,90
2173307409,91
2173307410,94
2173307411,94
2173307412,91
2173307413,90
2173307414,93
2181007500,91
2181007501,94
2181007502,94
2181007503,92
2181007504,94
2181107505,92
2181107506,92
2181107507,93
2181107508,93
4171207600,90
4171207601,90
4171207602,91
4171207603,90
4171207604,87
4171207605,88
4171207606,84
4171207607,87
4171207608,80
4171207609,78
4171207610,88
4171207611,85
4171207612,89
4171207613,87
4171207614,93
4171207615,91
4171107616,92
4171107617,88
4171107618,92
4171107619,83
4171107620,91
4171107621,90
4171107622,83
4171107623,82
4171107624,91
4171107625,92
4171107626,89
4171107627,80
4171107628,91
4171107629,88
4171107630,82
4171107631,84
4171107632,89
4171107633,73
4171107634,83
4171107635,90
4171107636,90
4171107637,87
4171107638,93
4171107639,91
4171107640,90
4171107641,86
4171107642,89
4171107643,83
4171107644,80
4171107645,87
4171107646,92
4171107647,92
4171107648,77
4171107649,80
4171107650,87
4171107651,86
4171107652,84
4171107653,92
4171107654,86
4171107655,94
4171207656,80
4171207657,92
2181107700,93
2181107701,92
2181107702,92
2181107703,95
2181107704,92
2181107705,90
4181107706,90
4181107707,92
4181107708,89
2181007800,94
2181007801,91
2181007802,89
2181007803,92
2181007804,92
2181007805,94
2181007806,89
2181007807,92
2181007808,88
2181007809,92
2181007810,93
2181007811,94
2181007812,93
2181007813,85
2181007814,92
2181007815,89
2181007816,91
2181007817,94
2181007818,93
2181007819,91
2181007820,93
2181007821,91
2181007822,85
2181007823,86
2181007824,88
2181007825,94
2181007826,91
2181007827,89
2181007828,90
2181007829,87
2181007830,85
2181007831,84
2181007832,81
2181007833,83
2181007834,84
2181007835,84
2181007836,86
2181007837,82
2181007838,88
2181007839,93
2181007840,91
2181007841,91
2181007842,92
2181007843,91
2181007844,90
2181007845,88
2181007846,80
2181007847,74
2181007848,91
2181007849,87
2181007850,93
2181007851,91
2181007852,90
2181007853,87
2181307854,84
2181307855,88
2181307856,93
2181307857,94
2181307858,95
2181307859,95
2181307860,94
2181307861,93
2181307862,93
2181307863,93
2181307864,92
2181307865,90
2181307866,89
2181307867,91
2181307868,95
2181307869,94
2181307870,83
2181307871,89
2181307872,80
2181307873,93
2181307874,89
2181307875,68
2181307876,71
2181307877,90
2181307878,83
2181307879,85
2181307880,73
2181307881,90
2181307882,91
2181307883,93
2181307884,89
2181307885,95
2181307886,91
2181307887,93
2181307888,94
2161307900,91
2161307901,91
2161307902,90
2181307903,91
2181307904,92
2181307905,90
2181307906,92
2181307908,91
2181307909,92
2181307910,90
2181307911,94
2181107912,94
2181107913,93
2181307914,90
2181307915,86
2181107916,88
2181107917,92
2181107918,91
2181307919,89
